Date;ConcModaNucleacao;ConcModaAitken;ConcModaAcumulacao;GMDModaNucleacao;GMDModaAitken;GMDModaAcumulacao;GStdModaNucleacao;GStdModaAitken;GStdModaAcumulacao;SSE;RSquared;DFE;AdjRSquared;RMSE;ConcTotalObs;ConcTotalAjustada
02/11/2019 17:06;4758.45364678866;7090.00696273259;1803.97464462249;15.0732784032754;53.9239137794297;237.607174522582;1.49797451433912;1.49797451433912;1.62953372107086;NaN;0.97639527000327;95;0.974407503266703;777.314402031498;13346.3711807682;13399.1766210324
02/11/2019 17:09;3941.88765129257;7064.82802957461;1890.52448508238;15.3960022563686;54.06604051545;235.204215781333;1.48104541789311;1.48104541789311;1.68983168222637;NaN;0.982160453374592;95;0.980658175764031;632.534867001521;12557.202739398;12635.4875520668
02/11/2019 17:12;4129.78800380333;7158.73106983797;1627.902314775;15.4062584461694;54.2464412343749;246.763455093572;1.5246593307473;1.5246593307473;1.5540828916659;NaN;0.981727676368825;95;0.980188954378832;631.386246272626;12696.9762622487;12733.9873596727
02/11/2019 17:15;3981.74530556407;6887.65135822838;1853.32710984423;15.4974120038566;54.5545863270973;242.728757251484;1.50041751206567;1.50041751206567;1.65272019369344;NaN;0.976574900897115;95;0.974602260972662;702.280549323462;12464.1088293111;12496.3922517377
02/11/2019 17:18;4359.4936811909;6964.70238511279;1814.73586587289;15.6362143533557;54.6495708087804;240.296705548697;1.49873765382223;1.49873765382223;1.64226036523954;NaN;0.974814485911541;95;0.972693600514618;760.398023615544;12880.004238619;12919.0267096839
02/11/2019 17:21;3877.84915357918;6776.94797181646;1920.67041444887;15.8841502600368;54.1490185118068;235.030056315057;1.48714428604396;1.48714428604396;1.6898316822508;NaN;0.982817922174062;95;0.981371010357141;582.833145161158;12261.2212925497;12326.0919812839
02/11/2019 17:24;3921.20113516376;7080.99053360258;1962.47955858071;16.0980987468732;54.7464262975178;241.554567776608;1.49522709899917;1.49522709899917;1.68983168224945;NaN;0.976977421448731;95;0.975038677991782;700.188218017138;12760.750228576;12719.7691949757
02/11/2019 17:27;4034.82992526507;7026.6226230473;1927.32746778346;16.1268104760331;54.4669925022023;240.340089111033;1.49573433506587;1.49573433506587;1.68983168224933;NaN;0.98302227400097;95;0.981592570758946;607.479732967392;12727.7764181987;12757.7501206925
02/11/2019 17:30;3464.22392917823;7026.58982356499;1938.77540669581;15.9271622991606;54.6090114416934;228.878476191215;1.4774236065474;1.4774236065474;1.68983168225057;NaN;0.980324667463052;95;0.978667797354677;631.543554110721;12189.5769203474;12179.8607895059
02/11/2019 17:33;3198.82463117466;7065.66823511768;1987.59875096683;16.2012096398612;55.6126055218321;241.191105384598;1.47288079102188;1.47288079102188;1.68983168225029;NaN;0.980441109363918;95;0.978794044889301;623.515464767983;11942.408504954;11947.4224689559
02/11/2019 17:36;3084.26578964207;6974.43907901225;1917.50611355769;15.9942581392792;54.2511005007191;231.061122927943;1.48461725893255;1.48461725893255;1.6845349953846;NaN;0.981736788431754;95;0.980198833773376;588.849405388478;11709.4780965401;11727.3519837996
02/11/2019 17:39;2582.9312341677;6814.23920643071;1931.91904820958;16.3022654534088;55.3896013613084;231.049782675769;1.4779865537779;1.4779865537779;1.68983168225084;NaN;0.985263944706973;95;0.984023013734928;514.202526099669;11045.8982916385;11072.9582580999
02/11/2019 17:42;2199.69596207221;6924.41294158499;1846.57408477589;17.0603014097273;55.8468513275623;238.48649505865;1.47940435334289;1.47940435334289;1.64440441015628;NaN;0.985869980041515;95;0.984680083623958;516.803559530792;10752.7187301285;10762.2088758118
02/11/2019 17:45;3019.02406829635;6835.23536786912;1818.05222353157;16.4832692331216;56.0526636420797;243.95307935252;1.48042544104556;1.48042544104556;1.63182209114571;NaN;0.980966212047634;95;0.979363366746382;589.097998263758;11432.139791735;11442.3635752906
02/11/2019 17:48;4086.84087362206;6841.51144498491;1974.5501900453;16.3478723194824;55.5140403191562;233.923598914913;1.46769134171379;1.46769134171379;1.68983168225086;NaN;0.980509842294888;95;0.978868565856563;643.220423186873;12684.3858718417;12657.616619283
02/11/2019 17:51;3852.93206753182;6916.91410456597;1912.00982899096;16.1664578450456;55.5679250859318;233.874838014606;1.47054731239082;1.47054731239082;1.68983168224711;NaN;0.986608851810612;95;0.985481176173611;546.64790883872;12432.8567812402;12481.7687558702
02/11/2019 17:54;3771.74479971522;6744.46977809121;1973.91413178246;16.291317630065;55.6824199697696;241.343431222793;1.47203614468006;1.47203614468006;1.68983168222893;NaN;0.985536992237371;95;0.98431905474157;535.183332261014;12227.3670132137;12239.0629280396
02/11/2019 17:57;3684.10842252619;6946.00715867627;1966.47568167562;16.2671061662092;55.3540140879674;232.777528371764;1.48856927264985;1.48856927264985;1.68983168224639;NaN;0.986069898971691;95;0.984896837832465;527.691409456804;12380.1481693996;12381.7380196017
02/11/2019 18:00;2919.87567545884;6950.82550589529;1797.65280900335;16.1548240962971;56.0569667840876;237.19171063065;1.51196342990374;1.51196342990374;1.64900924453169;NaN;0.979015463439879;95;0.977248344571659;606.389403595551;11527.9218980608;11480.0848990021
02/11/2019 18:03;2169.21037072729;6774.39900988938;1924.67295291724;16.660854597186;56.4475331256379;231.875808494958;1.47457092897863;1.47457092897863;1.6717759576529;NaN;0.984535077466176;95;0.98323276820017;530.035594516137;10635.905819333;10636.2709368737
02/11/2019 18:06;2387.83216658259;6528.93639856495;1920.67576057578;16.4486895633704;56.8713074165829;231.788553296654;1.48160015346084;1.48160015346084;1.66586619984615;NaN;0.98392278821499;95;0.982568917748884;506.234206871461;10544.2276593383;10570.2451976556
02/11/2019 18:09;2434.80624537138;6588.74322098424;1868.80704463311;16.2091229696579;56.9509893548775;240.249254296526;1.49484668206702;1.49484668206702;1.65659770520634;NaN;0.986202601092201;95;0.985040714868386;461.524116433271;10576.2362681113;10609.1398210918
02/11/2019 18:12;2678.22504142901;6655.33429401415;2239.32165476352;16.1650405048925;55.0096320850432;208.936411544748;1.49632691895443;1.49632691895443;1.68983168225071;NaN;0.975586518927983;95;0.973530646837708;613.329922961771;11353.5800002231;11378.9570509873
02/11/2019 18:15;2918.54968165555;6347.72073688346;1629.25084194005;15.7073235762405;55.666803533802;253.447828670049;1.55197214174453;1.55197214174453;1.53688063592576;NaN;0.979346097847238;95;0.977606821876479;508.950599019457;10667.9894577189;10707.6747034563
02/11/2019 18:18;3478.17856891165;5951.35843854226;1805.53514097355;15.9474180852201;55.1220011827461;240.312070359496;1.53480073586164;1.53480073586164;1.65499433189428;NaN;0.976779553840111;95;0.974824147847699;561.652284558737;11020.4821836642;11035.3415397245
02/11/2019 18:21;3825.1153410352;5745.2098158619;1864.90548934939;15.9291258565797;54.9045488302363;245.905477382777;1.51974218876582;1.51974218876582;1.66398187910609;NaN;0.971006246630061;95;0.968564667398909;659.044992130171;11186.8378860466;11215.9329734248
02/11/2019 18:24;4550.59986304154;5642.82780494134;1771.34571889836;15.8462166680515;54.6866475525078;246.192924359088;1.53751104928954;1.53751104928954;1.62297844161348;NaN;0.973225435962079;95;0.970970735832569;707.392937485287;11777.6389370556;11776.8522335192
02/11/2019 18:27;4221.44016499693;5772.8532173269;1824.95183051622;15.8911809844328;54.6641901286646;247.474480175116;1.54007989416661;1.54007989416661;1.66673287108179;NaN;0.975167659870553;95;0.9730765154386;646.074156113077;11597.143822668;11600.7496283065
02/11/2019 18:30;3614.45310761067;6395.44924833443;1522.59990176308;16.1295065491484;55.6037956654766;262.810184785223;1.59184822376844;1.59184822376844;1.50902763419941;NaN;0.971147229353921;95;0.968717522352146;653.169087407837;11382.1888645571;11394.6682083912
02/11/2019 18:33;2705.36213667133;5824.60945172805;1769.63275708796;16.5193431712323;55.8336884175266;243.241601630744;1.51648955105761;1.51648955105761;1.59488964576303;NaN;0.976494580611429;95;0.974515176873444;509.642211075328;10113.7200515303;10109.7202564575
02/11/2019 18:36;2443.85349701048;5884.0637208815;1694.74093248649;16.1651785318235;56.2899785940472;258.729353308181;1.56009091758473;1.56009091758473;1.60712450809056;NaN;0.971426798959333;95;0.969020634661171;527.209428218624;9783.64256507378;9782.22166595856
02/11/2019 18:39;2290.97601491232;5625.90694048004;2180.22125903933;16.2014122920281;54.8110274067508;203.987274288635;1.54325274849443;1.54325274849443;1.68983168225083;NaN;0.957216808990835;95;0.953614013958484;613.774884865181;9955.55513126678;9922.53044818402
02/11/2019 18:42;2365.89970196709;5774.20834026327;1620.7041431017;16.4375201447075;55.7533660830409;254.771736015033;1.55260417956183;1.55260417956183;1.57077681784396;NaN;0.977492898649094;95;0.975597563798491;473.545024482864;9597.06430036696;9596.28166764988
02/11/2019 18:45;2997.16286948885;5538.30725904611;1630.08630960341;16.2701313238682;55.5719505960908;248.240839486129;1.53100949860136;1.53100949860136;1.60880747960883;NaN;0.967181725946389;95;0.964418081815559;594.533050038102;10009.9486273673;9977.08493298624
02/11/2019 18:48;3229.69887953081;5432.57239721474;1769.33681156034;16.4026975338825;55.5466453814103;245.68127110935;1.51828283039705;1.51828283039705;1.66354111679522;NaN;0.979948646343493;95;0.978260111298735;502.253855057652;10249.1317058398;10249.487737039
02/11/2019 18:51;3192.6291139367;5409.68730995593;1645.37617681912;16.4308101550243;56.8170897853111;246.819425035693;1.52055427619644;1.52055427619644;1.64369374378951;NaN;0.977225433169591;95;0.975307574910188;530.077855834995;10112.5766566658;10083.2142578489
02/11/2019 18:54;3987.75490851507;5218.61251935095;1487.46480093224;16.7661499708912;56.7245360785155;258.194086038723;1.52918239576974;1.52918239576974;1.52726658699824;NaN;0.9825347257594;95;0.98106396582335;530.812444014498;10627.8372342355;10584.6122397195
02/11/2019 18:57;4905.09292902408;5173.6045538862;1523.49961895236;16.5293605051554;56.5270305151978;249.177751110138;1.51108800910539;1.51108800910539;1.54318780126663;NaN;0.984076980479131;95;0.982736094624742;628.282027725553;11534.0361287028;11515.8783026471
02/11/2019 19:00;2882.22826425483;5184.12165032699;1563.77598243708;15.8530804640405;57.7313778826699;255.9386251958;1.51526527411348;1.51526527411348;1.60733874017019;NaN;0.974429136122871;95;0.972275800217429;513.76245352844;9456.69950099674;9447.01267469014
02/11/2019 19:03;1482.58852078349;5242.10108215466;1725.00671983808;17.4916221408524;59.193107189385;246.931759088884;1.4856559967008;1.4856559967008;1.66097213468745;NaN;0.981270730772735;95;0.979693529153597;433.333184811558;8266.38506871855;8242.81077622567
02/11/2019 19:06;1357.45591491087;5328.71864271591;1677.11713621075;17.903141226654;58.9584941192668;236.879205949851;1.47708172412399;1.47708172412399;1.61119329458157;NaN;0.981792651033738;95;0.980259400594474;449.454400786196;8214.37395704016;8197.85109396111
02/11/2019 19:09;2321.71883943399;5477.86419573265;1521.87790050375;16.4626785504377;58.7411797950961;254.759555959161;1.54732773972883;1.54732773972883;1.53561923596437;NaN;0.961804156838017;95;0.958587664782272;586.82637276641;9155.62957392803;9179.22097398992
02/11/2019 19:12;2269.44616330644;5636.33549867599;1532.71014595624;16.5367669407591;58.1153127660556;256.1640428803;1.54798136150315;1.54798136150315;1.52689115029424;NaN;0.973612423601885;95;0.971390311905201;507.184959827997;9308.32062432806;9312.81269297269
02/11/2019 19:15;1771.57200751644;5224.82250652666;1681.63509240589;16.8409869138929;58.5864230125574;243.164269036697;1.51950226995245;1.51950226995245;1.62581269375204;NaN;0.976291594004733;95;0.974295096657763;447.347505573707;8486.34610895527;8500.16885158426
02/11/2019 19:18;2315.67441932473;4608.36564225624;1697.43530955248;21.3343802352832;60.6815210781671;239.114244028715;1.48568905023589;1.48568905023589;1.60931232600806;NaN;0.970528865564182;95;0.968047085822218;507.181339900718;8328.24043490459;8346.78284285786
02/11/2019 19:21;2909.5024467258;5208.51330590204;1559.71462884659;17.19490607689;58.7951730944375;251.267199632297;1.56327740377058;1.56327740377058;1.56130621297191;NaN;0.972044189634683;95;0.969690016130235;513.937542583651;9586.39522254875;9550.27964749035
